data_stage,protocol,protocol_role,temperature_c,files,bytes,cell_count,cells,size_human
Processed Data,C20_Charge,low-rate charge characterization,10,11,12118036,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,11.6 MB
Processed Data,C20_Discharge,low-rate discharge characterization,10,11,11947308,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,11.4 MB
Processed Data,DV_UDDS,variable-current drive-cycle discharge,10,11,46229002,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,44.1 MB
Processed Data,DV_US06,variable-current drive-cycle discharge,10,11,21418728,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,20.4 MB
Processed Data,DV_WLTP,variable-current drive-cycle discharge,10,11,42432886,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,40.5 MB
Processed Data,EIS_test,measured impedance target,10,11,44435,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,43.4 KB
Processed Data,HPPC_1C,RPT-like pulse characterization,10,11,18151780,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,17.3 MB
Processed Data,HPPC_C3,RPT-like pulse characterization,10,11,19143320,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,18.3 MB
Processed Data,C20_Charge,low-rate charge characterization,25,11,12176209,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,11.6 MB
Processed Data,C20_Discharge,low-rate discharge characterization,25,11,5468476,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,5.2 MB
Processed Data,DV_UDDS,variable-current drive-cycle discharge,25,11,45516918,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,43.4 MB
Processed Data,DV_US06,variable-current drive-cycle discharge,25,11,23205760,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,22.1 MB
Processed Data,DV_WLTP,variable-current drive-cycle discharge,25,11,41793003,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,39.9 MB
Processed Data,EIS_test,measured impedance target,25,11,41274,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,40.3 KB
Processed Data,HPPC_1C,RPT-like pulse characterization,25,11,16669341,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,15.9 MB
Processed Data,HPPC_C3,RPT-like pulse characterization,25,11,17417656,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,16.6 MB
Processed Data,C20_Charge,low-rate charge characterization,40,11,12157860,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,11.6 MB
Processed Data,C20_Discharge,low-rate discharge characterization,40,11,11816233,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,11.3 MB
Processed Data,DV_UDDS,variable-current drive-cycle discharge,40,11,45301813,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,43.2 MB
Processed Data,DV_US06,variable-current drive-cycle discharge,40,11,23311593,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,22.2 MB
Processed Data,DV_WLTP,variable-current drive-cycle discharge,40,11,41576861,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,39.7 MB
Processed Data,EIS_test,measured impedance target,40,11,46766,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,45.7 KB
Processed Data,HPPC_1C,RPT-like pulse characterization,40,11,17607349,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,16.8 MB
Processed Data,HPPC_C3,RPT-like pulse characterization,40,11,18639860,11,59294;59485;59627;59690;59861;60031;60129;60195;60403;60644;60710,17.8 MB
